ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
FAH03763	ultralong_quick	HG002	252171	22775	0	650.234	240250	2747	1199	839	685	584	479	407	337	321	260	265	213	225	196	178	159	9427	12401	13249	14327	18396	10092	12645	11252	8671	8376	
FAH03763-62149DB6	ultralong_quick	HG002	185746	16391	0	607.919	177413	2001	823	594	499	391	328	275	232	217	192	182	143	162	125	121	107	6858	9084	9835	10483	13485	7408	9286	8253	6429	6209	
FAH19588	FIRST_RUN	HG002	397197	313800	0	2256.41	210336	88130	44309	23616	13104	7364	4166	2449	1393	890	498	312	236	109	80	65	39	41816	31732	23582	16960	11591	7870	5465	3763	2671	1729	
FAH27563	ultralong_plug_filter	HG002	60936	20013	0	6733.1	41916	7399	2518	1502	1160	885	696	585	477	432	382	300	290	234	225	194	167	4739	3947	3358	2662	2027	1503	1218	987	749	532	
FAH27859	ultralong_plug	HG002	36740	16801	0	7551.83	24345	4693	1856	1070	749	587	456	363	301	262	221	213	174	135	143	112	66	2865	2399	2011	1516	1100	806	581	469	329	281	
FAH28333	ultralong_plug_filter	HG002	136443	68920	0	6573	85323	19437	8780	5390	3750	2590	2004	1563	1172	1034	799	652	507	466	360	329	268	12130	9778	7689	5983	4539	3329	2487	1871	1357	1002	
FAH31140	20171115_PCIA	HG002	60888	16875	0	6420.12	43910	7287	2199	1278	887	669	569	488	429	343	317	226	221	187	178	161	143	4682	3896	3034	2379	1742	1292	946	813	554	453	
FAH31142	20171130_PCIA	HG002	105771	37907	0	9991.7	75972	12204	3879	2327	1679	1256	1029	882	678	604	539	458	387	360	327	289	257	7120	5344	4226	2863	2139	1322	957	646	402	290	
FAH31761	fresh	HG002	70108	65199	0	11390	36241	11615	5765	3659	2651	1953	1437	1105	919	692	599	488	392	279	266	256	210	7135	5602	4331	3060	1989	1317	895	554	413	228	
FAH31830	20171204_PCIA	HG002	82660	73765	0	6132.45	49915	14105	5681	2742	1702	1134	881	651	543	519	381	310	330	297	258	236	197	8371	6631	5203	3697	2689	1701	1119	730	495	359	
FAH31888	frozen	HG002	35260	33477	0	22455.6	15096	4967	2959	2002	1520	1280	1073	852	712	605	497	416	349	346	281	251	233	3431	2625	2049	1348	875	588	390	279	171	120	
FAH36586	FC-QC_and_HalfPrecip	HG002	80828	73352	0	9115.9	35344	15691	9113	5603	3494	2414	1724	1335	978	811	651	490	385	367	287	265	207	8591	6764	5348	3813	2748	1835	1270	948	577	437	
FAH41079	PCIAx2_DIALYSIS	HG002	46372	42676	0	13629.5	20973	7601	4445	2949	2022	1423	1081	872	723	559	501	396	347	309	260	239	209	4792	3789	2854	1903	1466	877	623	427	283	182	
FAH41164	PCIAx2_DIALYSIS_RAD4	HG002	48497	45967	0	16822.9	20169	8109	4693	3006	2146	1545	1206	923	789	666	553	524	402	351	302	299	259	4755	3669	2711	1984	1308	871	614	405	295	155	
FAH41180	HG002_PCIAx2_lightSpin	HG002	17357	15603	0	6261.58	8523	3844	1887	959	581	380	270	175	126	106	104	52	63	35	30	41	35	1990	1534	1075	775	529	357	228	150	98	46	
FAH41190	HG002_pcia_mar12	HG002	16743	15429	0	12379.8	8398	2765	1397	816	620	403	358	289	234	204	143	134	119	97	90	71	55	1677	1409	1101	818	507	332	236	138	103	52	
FAH41195	NoDip2	HG002	85386	78292	0	7633.38	45724	16420	7456	4091	2528	1827	1266	1000	781	606	474	387	315	270	238	193	198	9517	7096	5317	3853	2567	1661	1089	729	501	301	
FAH41342	NoDip	HG002	14480	13214	0	5526.03	8563	2674	977	484	298	187	137	113	116	94	72	58	64	54	48	37	40	1482	1187	938	741	522	389	245	185	98	85	
FAH41358	HG002_PCIA_Dialysis-and-HG002_PCIA_precip_pellet	HG002	69683	62088	0	7825.93	37357	12949	5826	3269	2081	1418	1082	852	643	517	430	379	311	270	240	215	169	7361	5799	4444	3223	2225	1496	1023	681	455	256	
FAH41485	HG002_PCIAx2_dialysis	HG002	5823	4990	0	19687	2468	720	493	314	245	189	162	136	100	95	76	69	57	56	60	32	43	488	396	292	257	172	94	69	69	44	24	
FAH41485-21F91872	HG002_PCIAx2_dialysis	HG002	5823	4990	0	19687	2468	720	493	314	245	189	162	136	100	95	76	69	57	56	60	32	43	488	396	292	257	172	94	69	69	44	24	
FAH41497	HG002_Gentle	HG002	78463	71401	0	2147.26	49129	15382	5938	2768	1604	1043	708	477	340	239	184	109	108	91	55	46	47	8764	7365	6074	4759	3484	2229	1577	1084	708	481	
